Account_ID,Customer_Name,Age,Gender,Marital_Status,Account_Type,Balance,Interest_Rate,Account_Term,Opening_Date,Closing_Date,Transaction_Status,Transaction_Amount,Transaction_Type,Frequency,Region,Occupation,Dependents,Customer_Satisfaction_Rating
A0001,Customer_1,58,Female,Divorced,Savings,615483,4.415398281827494,5,2015-10-10,2023-07-13,Success,81392,Withdrawal,Monthly,East,Self-Employed,5,5
A0002,Customer_2,25,Male,Single,Current,106939,4.440613884960765,18,2012-07-23,2024-08-05,Failed,81263,Transfer,Yearly,North,Employed,4,2
A0003,Customer_3,19,Female,Divorced,Current,353909,6.437969640317718,4,2018-05-29,2024-12-15,Success,13374,Deposit,Quarterly,South,Self-Employed,1,2
A0004,Customer_4,65,Female,Married,Savings,317423,4.2034394013126315,5,2008-01-21,2024-01-01,Success,44614,Deposit,Quarterly,North,Retired,5,1
A0005,Customer_5,35,Female,Divorced,Current,339273,2.316680232495549,16,2002-06-17,2026-08-25,Failed,85417,Deposit,Yearly,North,Retired,4,1
A0006,Customer_6,33,Female,Divorced,Current,144079,5.27486784436695,8,2019-04-26,2028-08-18,Failed,88675,Deposit,Yearly,South,Student,4,3
A0007,Customer_7,32,Female,Single,Current,166154,2.06180106492967,11,2006-04-30,2025-09-29,Success,3504,Transfer,Yearly,South,Student,3,2
A0008,Customer_8,26,Female,Married,Fixed Deposit,768926,6.3416613592926,18,2019-06-01,2024-02-10,Success,59616,Deposit,Monthly,East,Unemployed,0,1
A0009,Customer_9,65,Female,Divorced,Fixed Deposit,995777,4.624089560193148,12,2000-09-12,2021-08-12,Failed,67892,Deposit,Monthly,North,Self-Employed,0,4
A0010,Customer_10,24,Female,Divorced,Fixed Deposit,459089,5.718119061613418,15,2005-04-11,2021-09-17,Success,43117,Withdrawal,Quarterly,South,Student,2,1
A0011,Customer_11,61,Female,Married,Current,831307,5.618867716379919,7,2009-09-06,2025-03-08,Success,77145,Withdrawal,Yearly,North,Retired,2,1
A0012,Customer_12,65,Female,Divorced,Fixed Deposit,671318,3.119924596618695,1,2015-10-01,2024-11-15,Success,25328,Withdrawal,Quarterly,East,Self-Employed,0,4
A0013,Customer_13,52,Female,Married,Savings,511866,6.778807150939269,13,2013-03-27,2026-01-28,Failed,14256,Transfer,Yearly,South,Unemployed,1,4
A0014,Customer_14,23,Male,Married,Current,681714,6.365717818524712,12,2008-11-03,2026-06-15,Failed,13559,Transfer,Quarterly,South,Employed,4,4
A0015,Customer_15,55,Male,Single,Current,333695,4.595498395081727,5,2014-01-08,2026-08-16,Success,1710,Deposit,Quarterly,North,Unemployed,5,5
A0016,Customer_16,45,Male,Divorced,Current,183664,5.441208217314637,9,2007-02-19,2026-11-28,Failed,78110,Transfer,Yearly,South,Unemployed,5,4
